community,adi_author,titles_papers
256,101901,Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example;A computational scheme for Reasoning in Dynamic Probabilistic Networks;Making Sensitivity Analysis Computationally Efficient;Nested Junction Trees;Reduction of Computational Complexity in Bayesian Networks through Removal of Weak Dependencies
256,101906,Risk Agoras: Dialectical Argumentation for Scientific Reasoning
256,101907,Welldefined Decision Scenarios;Representing and Solving Asymmetric Bayesian Decision Problems;Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example
256,78621,aHUGIN: A System Creating Adaptive Causal Probabilistic Networks;Evaluating Influence Diagrams using LIMIDs;MAIES: A Tool for DNA Mixture Analysis
256,103912,How to Elicit Many Probabilities
256,103913,How to Elicit Many Probabilities
256,101912,Pivotal Pruning of Trade-offs in QPNs
256,46286,The Cost of Troubleshooting Cost Clusters with Inside Information
256,46287,aHUGIN: A System Creating Adaptive Causal Probabilistic Networks;Inference in Multiply Sectioned Bayesian Networks with Extended Shafer-Shenoy and Lazy Propagation;Myopic Value of Information in Influence Diagrams;Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example;Representing and Solving Asymmetric Bayesian Decision Problems;Welldefined Decision Scenarios;Analysis in HUGIN of Data Conflict;Optimal Junction Trees;The Cost of Troubleshooting Cost Clusters with Inside Information;From Influence Diagrams to Junction Trees
256,142893,On reasoning in networks with qualitative uncertainty
256,72560,The Computational Complexity of Sensitivity Analysis and Parameter Tuning
256,105255,Optimal Junction Trees;Analysis in HUGIN of Data Conflict;Approximations in Bayesian Belief Universe for Knowledge Based Systems;From Influence Diagrams to Junction Trees
256,103911,How to Elicit Many Probabilities
256,72561,Sensitivity Analysis for Threshold Decision Making with Dynamic Networks;Pivotal Pruning of Trade-offs in QPNs;Enhancing QPNs for Trade-off Resolution;Computing Probability Intervals Under Independency Constraints;How to Elicit Many Probabilities;The Computational Complexity of Sensitivity Analysis and Parameter Tuning;Learning Bayesian Network Parameters with Prior Knowledge about Context-Specific Qualitative Influences;Pre-processing for Triangulation of Probabilistic Networks;Making Sensitivity Analysis Computationally Efficient;Analysing Sensitivity Data from Probabilistic Networks
256,105311,Analysis in HUGIN of Data Conflict
256,105256,Approximations in Bayesian Belief Universe for Knowledge Based Systems
256,72591,Propagation using Chain Event Graphs
256,72592,Approximate Learning in Complex Dynamic Bayesian Networks;Propagation using Chain Event Graphs;Exact Estimation of Multiple Directed Acyclic Graphs
256,72593,MAIES: A Tool for DNA Mixture Analysis;Conditions Under Which Conditional Independence and Scoring Methods Lead to Identical Selection of Bayesian Network Models;Propagation using Chain Event Graphs
256,75904,A new parameter Learning Method for Bayesian Networks with Qualitative Influences;Learning Bayesian Network Parameters with Prior Knowledge about Context-Specific Qualitative Influences
256,77053,Kernel Bounds for Structural Parameterizations of Pathwidth;Characterizing width two for variants of treewidth;Solving weighted and counting variants of connectivity problems parameterized by treewidth deterministically in single exponential time;Kernelization Lower Bounds By Cross-Composition;Pre-processing for Triangulation of Probabilistic Networks
256,78622,MAIES: A Tool for DNA Mixture Analysis
256,78623,Sensitivity Analysis for Threshold Decision Making with Dynamic Networks
256,78644,Using ROBDDs for Inference in Bayesian Networks with Troubleshooting as an Example;Chi-square Tests Driven Method for Learning the Structure of Factored MDPs
256,135502,From Influence Diagrams to Junction Trees;Myopic Value of Information in Influence Diagrams
256,78660,Solving Influence Diagrams using HUGIN, Shafer-Shenoy and Lazy Propagation;Belief Update in CLG Bayesian Networks With Lazy Propagation
256,105312,Analysis in HUGIN of Data Conflict
